Zino Classic N°1 A.T.                                                   ,10     ,8.90   ,89.00€  ,dominican-cigars        ,full-boxes                ,
Zino Classis N°6 A.T.                                                   ,10     ,8.80   ,88.00€  ,dominican-cigars        ,full-boxes                ,
Zino Classic N°7 A.T.                                                   ,10     ,6.90   ,69.00€  ,dominican-cigars        ,full-boxes                ,
Avo XO Intermezzo                                                       ,25     ,9.70   ,242.50€ ,dominican-cigars        ,full-boxes                ,
Avo XO Notturno A.T.                                                    ,20     ,8.50   ,170.00€ ,dominican-cigars        ,full-boxes                ,
Avo XO Preludio A.T.                                                    ,20     ,9.40   ,188.00€ ,dominican-cigars        ,full-boxes                ,
Griffin's 300                                                           ,1      ,8.60   ,8.60€   ,dominican-cigars        ,singles                   ,
Griffin's 500                                                           ,1      ,7.50   ,7.50€   ,dominican-cigars        ,singles                   ,
Griffin's Robusto                                                       ,1      ,8.90   ,8.90€   ,dominican-cigars        ,singles                   ,
Corazon Short Piramides                                                 ,1      ,4.00   ,4.00€   ,dominican-cigars        ,singles                   ,
Corazon Short Robusto                                                   ,1      ,3.80   ,3.80€   ,dominican-cigars        ,singles                   ,
Zino Classic N°1 A.T.                                                   ,1      ,8.90   ,8.90€   ,dominican-cigars        ,singles                   ,
Zino Classis N°6 A.T.                                                   ,1      ,8.80   ,8.80€   ,dominican-cigars        ,singles                   ,
Zino Classic N°7 A.T.                                                   ,1      ,6.90   ,6.90€   ,dominican-cigars        ,singles                   ,
Zino Classic N°8 A.T.                                                   ,1      ,11.20  ,11.20€  ,dominican-cigars        ,singles                   ,
Zino Platinum Z-Class Robusto                                           ,1      ,9.50   ,9.50€   ,dominican-cigars        ,singles                   ,
Zino Platinum Z-Class Toro                                              ,1      ,10.50  ,10.50€  ,dominican-cigars        ,singles                   ,
Ashton VSG Robusto                                                      ,1      ,11.90  ,11.90€  ,dominican-cigars        ,singles                   ,
Ashton Magnum                                                           ,1      ,9.90   ,9.90€   ,dominican-cigars        ,singles                   ,
A. Flores Robusto Corojo Ed. Lim. 2006                                  ,1      ,12.50  ,12.50€  ,dominican-cigars        ,singles                   ,
Private Stock N°5 A.T.                                                  ,1      ,5.90   ,5.90€   ,dominican-cigars        ,singles                   ,
La Flor Dominicana Double Ligero DL 600                                 ,1      ,8.90   ,8.90€   ,dominican-cigars        ,singles                   ,
La Flor Dominicana Double Ligero DL 700                                 ,1      ,10.90  ,10.90€  ,dominican-cigars        ,singles                   ,
Cuesta Rey Robusto N°7 Natural                                          ,1      ,9.00   ,9.00€   ,dominican-cigars        ,singles                   ,
Cuesta Rey Aristocrat Natural Tubos                                     ,1      ,12.50  ,12.50€  ,dominican-cigars        ,singles                   ,
Cuesta Rey Pyramid N°9 Maduro                                           ,1      ,11.10  ,11.10€  ,dominican-cigars        ,singles                   ,
EP Carrillo Inch 70 Maduro                                              ,1      ,15.50  ,15.50€  ,dominican-cigars        ,singles                   ,
EP Carrillo Inch 70 Natural                                             ,1      ,15.50  ,15.50€  ,dominican-cigars        ,singles                   ,
Macanudo 1968 Gigante                                                   ,1      ,10.00  ,10.00€  ,dominican-cigars        ,singles                   ,macanudo
Macanudo 1968 Robusto                                                   ,1      ,9.20   ,9.20€   ,dominican-cigars        ,singles                   ,macanudo
Macanudo 1968 Rothschild                                                ,1      ,7.90   ,7.90€   ,dominican-cigars        ,singles                   ,macanudo
Macanudo 1968 Titan                                                     ,1      ,9.10   ,9.10€   ,dominican-cigars        ,singles                   ,macanudo
Macanudo Inspirado Gigante                                              ,1      ,9.20   ,9.20€   ,dominican-cigars        ,singles                   ,macanudo
Macanudo Inspirado Robusto                                              ,1      ,8.50   ,8.50€   ,dominican-cigars        ,singles                   ,macanudo
Avo XO Intermezzo                                                       ,1      ,9.70   ,9.70€   ,dominican-cigars        ,singles                   ,
Avo XO Notturno A.T.                                                    ,1      ,8.50   ,8.50€   ,dominican-cigars        ,singles                   ,
Avo XO Preludio A.T.                                                    ,1      ,9.40   ,9.40€   ,dominican-cigars        ,singles                   ,
Paradiso Leviathan                                                      ,1      ,9.90   ,9.90€   ,dominican-cigars        ,singles                   ,
Paradiso Papagayo                                                       ,1      ,8.90   ,8.90€   ,dominican-cigars        ,singles                   ,
Paradiso Papagayo XXL                                                   ,1      ,9.50   ,9.50€   ,dominican-cigars        ,singles                   ,
Paradiso Prophet                                                        ,1      ,8.50   ,8.50€   ,dominican-cigars        ,singles                   ,
Arturo Fuente Don Carlos N°2                                            ,1      ,21.00  ,21.00€  ,dominican-cigars        ,singles                   ,arturo-fuente
Arturo Fuente Don Carlos N°3                                            ,1      ,14.40  ,14.40€  ,dominican-cigars        ,singles                   ,arturo-fuente
Arturo Fuente Don Carlos Robusto                                        ,1      ,15.60  ,15.60€  ,dominican-cigars        ,singles                   ,arturo-fuente
Arturo Fuente Chateau Fuente King B                                     ,1      ,13.90  ,13.90€  ,dominican-cigars        ,singles                   ,arturo-fuente
Arturo Fuente Chateau Fuente Queen B                                    ,1      ,11.00  ,11.00€  ,dominican-cigars        ,singles                   ,arturo-fuente
Arturo Fuente Chateau Fuente King T                                     ,1      ,17.00  ,17.00€  ,dominican-cigars        ,singles                   ,arturo-fuente
Arturo Fuente Chateau Fuente King T Rosado                              ,1      ,17.00  ,17.00€  ,dominican-cigars        ,singles                   ,arturo-fuente
Arturo Fuente Chateau Fuente                                            ,1      ,8.00   ,8.00€   ,dominican-cigars        ,singles                   ,arturo-fuente
Arturo Fuente Double Chateau Fuente                                     ,1      ,10.30  ,10.30€  ,dominican-cigars        ,singles                   ,arturo-fuente
Arturo Fuente Añejo 46                                                  ,1      ,17.00  ,17.00€  ,dominican-cigars        ,singles                   ,arturo-fuente
Arturo Fuente Añejo 48                                                  ,1      ,20.20  ,20.20€  ,dominican-cigars        ,singles                   ,arturo-fuente
Arturo Fuente Añejo 49                                                  ,1      ,22.90  ,22.90€  ,dominican-cigars        ,singles                   ,arturo-fuente
Arturo Fuente Añejo 50                                                  ,1      ,19.00  ,19.00€  ,dominican-cigars        ,singles                   ,arturo-fuente
Arturo Fuente Añejo 55                                                  ,1      ,22.90  ,22.90€  ,dominican-cigars        ,singles                   ,arturo-fuente
Arturo Fuente Añejo 77                                                  ,1      ,21.00  ,21.00€  ,dominican-cigars        ,singles                   ,arturo-fuente
Arturo Fuente Hemingway Classic                                         ,1      ,14.40  ,14.40€  ,dominican-cigars        ,singles                   ,arturo-fuente
Arturo Fuente Hemingway Best Seller                                     ,1      ,10.80  ,10.80€  ,dominican-cigars        ,singles                   ,arturo-fuente
Arturo Fuente Hemingway Work of Art                                     ,1      ,14.40  ,14.40€  ,dominican-cigars        ,singles                   ,arturo-fuente
Arturo Fuente Hemingway Untold Story                                    ,1      ,31.00  ,31.00€  ,dominican-cigars        ,singles                   ,arturo-fuente
